customer_id,customer_name,email,registration_date,customer_type
CUST_7EA379D5,Frank Wilson,frank.wilson@example.com,2026-03-18,REGULAR
CUST_CD35EE00,Alice Brown,alice.brown@example.com,2022-08-03,PREMIUM
CUST_17737615,Henry Smith,henry.smith@example.com,2024-03-07,PREMIUM
CUST_85F2FDD8,Diana Smith,diana@,2022-12-24,PREMIUM
CUST_C384C123,Henry Johnson,henry.johnson@example.com,2021-01-30,REGULAR
CUST_376A23F5,Charlie Wilson,charlie.wilson@example.com,2022-12-02,REGULAR
CUST_F437CA4E,John Wilson,john.wilson@example.com,2020-04-08,REGULAR
CUST_5D980E82,Alice Anderson,alice.anderson@example.com,2024-03-28,PREMIUM
CUST_0BDEE3D9,Eve Taylor,eve.taylor@example.com,2020-04-16,PREMIUM
CUST_DE19DB95,Alice Smith,alice.smith@example.com,2022-11-17,VIP
CUST_A0E2BE6E,Charlie Smith,charlie.smith@example.com,2024-06-04,REGULAR
CUST_09DD6CFE,Frank Doe,frank.doe@example.com,2024-05-24,PREMIUM
CUST_6AB50F67,Bob Taylor,bob.taylor@example.com,2022-05-14,REGULAR
CUST_20C72BD8,John Anderson,john.anderson@example.com,2026-05-31,REGULAR
CUST_E88D235A,Frank Brown,frank.brown@example.com,2023-09-04,REGULAR
CUST_E877966F,Alice Taylor,alice.taylor@example.com,2023-02-09,REGULAR
CUST_693A88EA,John Anderson,john.anderson@example.com,2022-05-17,PREMIUM
CUST_2917A489,Jane Anderson,jane.anderson@example.com,2022-07-01,PREMIUM
CUST_2FE80990,John Anderson,john.anderson@example.com,2020-12-03,PREMIUM
CUST_13CD89AC,Charlie Anderson,charlie.anderson@example.com,2023-02-04,PREMIUM
CUST_AE1ACE3E,Charlie Doe,charlie.doe@example.com,2020-04-28,VIP
CUST_CE976722,Charlie Taylor,charlie.taylor@example.com,2020-01-07,PREMIUM
CUST_278DB7DA,Jane Taylor,jane.taylor@example.com,2022-01-01,REGULAR
CUST_D5C40010,Frank Smith,frank.smith@example.com,2024-09-04,REGULAR
CUST_9C3DE1DB,Grace Davis,grace.davis@example.com,2022-12-09,REGULAR
CUST_838A30B6,Alice Miller,alice.miller@example.com,2020-04-18,REGULAR
CUST_43BDF25E,Diana Johnson,diana.johnson@example.com,2021-10-24,PREMIUM
CUST_F3B4FB9E,Alice Smith,alice.smith@example.com,2022-10-17,PREMIUM
CUST_CAF459C1,Jane Smith,jane.smith@example.com,2024-10-29,REGULAR
CUST_7D0A2FA7,Jane Doe,jane.doe@example.com,2024-11-06,REGULAR
CUST_1A42F4EA,Frank Wilson,frank.wilson@example.com,2026-01-25,REGULAR
CUST_3356E769,Alice Taylor,alice.taylor@example.com,2023-05-06,REGULAR
CUST_2F4B7B44,Bob Anderson,bob.anderson@example.com,2020-07-11,REGULAR
CUST_DD43968F,Diana Brown,diana.brown@example.com,2022-05-21,REGULAR
CUST_E53794C4,John Taylor,john.taylor@example.com,2020-08-23,REGULAR
CUST_8E6E48B0,Alice Brown,alice.brown@example.com,2020-06-30,PREMIUM
CUST_66433924,Charlie Smith,charlie.smith@example.com,2022-11-02,REGULAR
CUST_A898FBAC,Bob Davis,bob.davis@example.com,2026-05-29,REGULAR
CUST_81F2D2F5,Charlie Wilson,charlie.wilson@example.com,2025-10-29,VIP
CUST_9B31142B,Alice Taylor,alice.taylor@example.com,2023-08-11,VIP
CUST_D9766F01,Frank Wilson,frank.wilson@example.com,2020-08-08,PREMIUM
CUST_49A62310,Bob Taylor,bob.taylor@example.com,2022-10-21,PREMIUM
CUST_B8E90EF4,Jane Moore,jane.moore@example.com,2026-02-17,PREMIUM
CUST_8BF30EEA,Bob Moore,bob.moore@example.com,2026-04-25,REGULAR
