customer_id,customer_name,email,registration_date,customer_type
CUST_20CDDE26,Jane Smith,jane.smith@example.com,2022-09-30,REGULAR
CUST_15C5D25A,Grace Doe,grace.doe@example.com,2020-05-10,REGULAR
CUST_5845ECD1,Henry Smith,henry.smith@example.com,2026-02-10,REGULAR
CUST_15DFFD28,John Johnson,john.johnson@example.com,2023-10-25,VIP
CUST_EDE5A38B,Diana Doe,diana.doe@example.com,2021-01-31,PREMIUM
CUST_6A95C627,John Moore,john.moore@example.com,2024-03-30,PREMIUM
CUST_13D6F082,Henry Miller,henry.miller@example.com,2020-10-11,PREMIUM
CUST_AF92740A,Jane Brown,jane.brown@example.com,2024-04-05,PREMIUM
CUST_5A06F265,Alice Miller,alice.miller@example.com,2022-12-29,PREMIUM
CUST_7C9FA638,Henry Johnson,henry.johnson@example.com,2022-09-29,REGULAR
CUST_48B9CE41,Grace Brown,grace.brown@example.com,2020-08-17,PREMIUM
CUST_842CF4CC,Eve Davis,eve.davis@example.com,2026-05-12,PREMIUM
CUST_9A974185,Eve Moore,eve.moore@example.com,2021-07-25,REGULAR
CUST_CA3781F8,Henry Wilson,henry.wilson@example.com,2024-06-23,REGULAR
CUST_D1189634,Jane Smith,jane.smith@example.com,2021-09-18,PREMIUM
CUST_AF998BFE,Henry Doe,henry.doe@example.com,2025-04-01,PREMIUM
CUST_4AA52EC0,John Doe,john.doe@example.com,2026-01-08,REGULAR
CUST_E57BD9F3,Charlie Wilson,charlie.wilson@example.com,2020-01-14,REGULAR
CUST_A0298D6D,Grace Johnson,grace.johnson@example.com,2021-03-11,PREMIUM
CUST_21A23D17,Henry Brown,henry.brown@example.com,2021-10-23,REGULAR
CUST_E1527B2C,John Anderson,john.anderson@example.com,2020-03-20,PREMIUM
CUST_6DC899D7,Charlie Brown,charlie.brown@example.com,2026-05-12,REGULAR
CUST_143681FD,Jane Taylor,jane.taylor@example.com,2021-06-09,REGULAR
CUST_21066D97,Grace Anderson,grace.anderson@example.com,2022-05-17,PREMIUM
CUST_79E0B7E2,Charlie Wilson,charlie.wilson@example.com,2024-03-09,REGULAR
CUST_93F8A896,Bob Brown,bob.brown@example.com,2020-03-27,REGULAR
CUST_7DF1655F,John Doe,john.doe@example.com,2020-08-29,REGULAR
CUST_291E267D,Diana Doe,diana.doe@example.com,2023-02-14,REGULAR
CUST_F639AFDF,Henry Anderson,henry.anderson@example.com,2025-04-21,REGULAR
CUST_86487535,Eve Miller,eve.miller@example.com,2025-03-27,PREMIUM
CUST_94E39976,Jane Smith,jane.smith@example.com,2023-10-21,REGULAR
CUST_D5DE618A,Frank Johnson,frank.johnson@example.com,2023-02-14,VIP
CUST_C13C40CD,Frank Taylor,frank.taylor@example.com,2026-01-23,PREMIUM
CUST_F2BB36BD,Bob Johnson,bob.johnson@example.com,2025-05-25,VIP
CUST_3D686465,Alice Wilson,alice@,2022-12-22,PREMIUM
CUST_31CEC6B2,Grace Moore,grace.moore@example.com,2023-04-30,PREMIUM
CUST_7E9049D6,John Miller,john.miller@example.com,2026-07-20,PREMIUM
CUST_CC0AEEEA,Alice Smith,alice.smith@example.com,2020-11-24,REGULAR
CUST_9CC7E2A7,Bob Wilson,bob.wilson@example.com,2026-05-22,REGULAR
CUST_608D892D,Jane Wilson,jane.wilson@example.com,2026-05-04,REGULAR
CUST_3CD7C44D,Diana Brown,diana.brown@example.com,2021-06-20,REGULAR
CUST_5CA5FC68,Jane Smith,jane.smith@example.com,2026-04-25,REGULAR
